date,region,city,category,subcategory,product,channel,sales,profit,quantity,discount
2026-01-03,Central,Bangkok,Electronics,Phone,Galaxy A,Online,2200,440,4,0.05
2026-01-05,Central,Bangkok,Electronics,Laptop,ThinkBook,Store,5200,900,2,0.10
2026-01-06,North,Chiang Mai,Clothing,Shirt,Polo Tee,Online,850,170,5,0.00
2026-01-08,South,Phuket,Food,Snack,Seaweed Chips,Store,420,84,12,0.00
2026-01-10,Central,Bangkok,Home,Kitchen,Blender X,Online,1300,210,3,0.05
2026-01-12,North,Chiang Mai,Electronics,Phone,iPhone SE,Store,3100,620,2,0.00
2026-01-15,South,Phuket,Clothing,Shoes,Runner Pro,Online,1800,320,3,0.15
2026-01-18,East,Chonburi,Home,Furniture,Office Chair,Store,2400,450,2,0.10
2026-01-20,West,Kanchanaburi,Food,Beverage,Green Tea Pack,Online,390,78,10,0.00
2026-01-22,Central,Bangkok,Electronics,Tablet,iPad Mini,Online,4100,700,2,0.05
2026-02-02,Central,Bangkok,Electronics,Phone,Galaxy A,Store,2500,500,5,0.00
2026-02-04,North,Chiang Mai,Home,Kitchen,Rice Cooker,Online,1450,260,4,0.05
2026-02-07,South,Phuket,Food,Snack,Seaweed Chips,Online,510,102,15,0.00
2026-02-09,East,Chonburi,Electronics,Laptop,ThinkBook,Online,5400,960,2,0.10
2026-02-11,West,Kanchanaburi,Clothing,Shirt,Polo Tee,Store,910,182,6,0.00
2026-02-14,Central,Bangkok,Home,Furniture,Office Chair,Online,2600,480,2,0.10
2026-02-16,North,Chiang Mai,Electronics,Tablet,iPad Mini,Store,3950,650,2,0.08
2026-02-19,South,Phuket,Clothing,Shoes,Runner Pro,Store,1750,300,3,0.10
2026-02-22,East,Chonburi,Food,Beverage,Green Tea Pack,Online,430,86,11,0.00
2026-02-25,West,Kanchanaburi,Home,Kitchen,Blender X,Store,1280,205,3,0.05
2026-03-02,Central,Bangkok,Electronics,Laptop,ThinkBook,Online,5600,980,2,0.08
2026-03-04,North,Chiang Mai,Food,Snack,Seaweed Chips,Store,470,94,13,0.00
2026-03-06,South,Phuket,Electronics,Phone,iPhone SE,Online,3300,660,2,0.00
2026-03-09,East,Chonburi,Clothing,Shirt,Polo Tee,Online,870,174,5,0.00
2026-03-12,West,Kanchanaburi,Home,Furniture,Office Chair,Store,2550,470,2,0.10
2026-03-15,Central,Bangkok,Food,Beverage,Green Tea Pack,Store,410,82,10,0.00
2026-03-18,North,Chiang Mai,Electronics,Tablet,iPad Mini,Online,4200,720,2,0.05
2026-03-20,South,Phuket,Home,Kitchen,Rice Cooker,Store,1500,270,4,0.05
2026-03-23,East,Chonburi,Electronics,Phone,Galaxy A,Store,2450,490,4,0.00
2026-03-26,West,Kanchanaburi,Clothing,Shoes,Runner Pro,Online,1820,330,3,0.12
2026-04-02,Central,Bangkok,Home,Kitchen,Blender X,Online,1380,225,3,0.05
2026-04-04,North,Chiang Mai,Electronics,Laptop,ThinkBook,Store,5300,910,2,0.10
2026-04-07,South,Phuket,Food,Snack,Seaweed Chips,Online,520,104,14,0.00
2026-04-10,East,Chonburi,Home,Furniture,Office Chair,Online,2480,455,2,0.10
2026-04-12,West,Kanchanaburi,Food,Beverage,Green Tea Pack,Store,405,81,10,0.00
2026-04-15,Central,Bangkok,Electronics,Phone,iPhone SE,Store,3350,670,2,0.00
2026-04-18,North,Chiang Mai,Clothing,Shoes,Runner Pro,Online,1760,305,3,0.10
2026-04-20,South,Phuket,Home,Kitchen,Rice Cooker,Online,1480,265,4,0.05
2026-04-23,East,Chonburi,Electronics,Tablet,iPad Mini,Store,4050,690,2,0.05
2026-04-26,West,Kanchanaburi,Clothing,Shirt,Polo Tee,Online,890,178,6,0.00
2026-05-02,Central,Bangkok,Electronics,Phone,Galaxy A,Online,2300,460,4,0.05
2026-05-05,North,Chiang Mai,Home,Furniture,Office Chair,Store,2500,460,2,0.10
2026-05-07,South,Phuket,Electronics,Laptop,ThinkBook,Online,5500,970,2,0.08
2026-05-10,East,Chonburi,Food,Beverage,Green Tea Pack,Store,415,83,10,0.00
2026-05-12,West,Kanchanaburi,Home,Kitchen,Blender X,Online,1360,220,3,0.05
2026-05-15,Central,Bangkok,Clothing,Shirt,Polo Tee,Store,920,184,6,0.00
2026-05-18,North,Chiang Mai,Electronics,Phone,iPhone SE,Online,3400,680,2,0.00
2026-05-20,South,Phuket,Food,Snack,Seaweed Chips,Store,530,106,15,0.00
2026-05-23,East,Chonburi,Clothing,Shoes,Runner Pro,Online,1840,335,3,0.12
2026-05-26,West,Kanchanaburi,Electronics,Tablet,iPad Mini,Store,3980,670,2,0.08
2026-06-02,Central,Bangkok,Home,Furniture,Office Chair,Online,2620,485,2,0.10
2026-06-05,North,Chiang Mai,Food,Beverage,Green Tea Pack,Online,425,85,11,0.00
2026-06-08,South,Phuket,Electronics,Phone,Galaxy A,Store,2520,504,5,0.00
2026-06-10,East,Chonburi,Home,Kitchen,Rice Cooker,Store,1520,275,4,0.05
2026-06-13,West,Kanchanaburi,Clothing,Shirt,Polo Tee,Online,900,180,6,0.00
2026-06-16,Central,Bangkok,Electronics,Laptop,ThinkBook,Store,5700,995,2,0.08
2026-06-19,North,Chiang Mai,Clothing,Shoes,Runner Pro,Store,1780,310,3,0.10
2026-06-21,South,Phuket,Electronics,Tablet,iPad Mini,Online,4150,710,2,0.05
2026-06-24,East,Chonburi,Food,Snack,Seaweed Chips,Online,540,108,15,0.00
2026-06-27,West,Kanchanaburi,Home,Kitchen,Blender X,Store,1400,230,3,0.05